 需要 include_notificatio │ 可能是默认返回                 │
│                  │ n_bridges: truescenario_id,tool,task_completion_score,task_completion_notes,semantic_correctness_score,semantic_correctness_notes,explainability_score,interaction_cost_score,interaction_cost_notes,failure_tags,evidence_links,overall_verdict
S1,orchard,0,iOSLogin module ObjC classes (ZMAppLoginHelper/ZPPTUIContainer/ZMLoginViewController) completely missing from graph; only LoginServiceProtocol found but with no callers or relationships,0,Core symbols not indexed — can't verify any semantic correctness,0,No call graph data to explain results; freshness: stale on all queries,1,Quick search result but returned empty for every key symbol; 5+ queries needed to confirm absence,index_coverage symbol_identity,orchard search ZMAppLoginHelper→0 results ZPPTUIContainer→0 results ZMLoginViewController→0 results LoginServiceProtocol→1 result(find_callers→empty),FAIL — index misses entire iOSLogin ObjC surface
S1,gitnexus,1,Semantic query "Find the main login flow entry points" failed entirely (returned MyNotes/RingtoneConfig); direct symbol lookup found ZMAppLoginHelper(30+ methods) and ZPPTUIContainer(showLoginController/logOutOnCancel),1,Correct symbols when found by name but missing code-level callers; impact analysis only returned knowledge-base markdown imports,1,Methods are clearly listed with file:line but no call-chain explanation,1,Required 2 queries (semantic→failed + context→works) and prior knowledge of symbol names,retrieval_ranking call_graph_precision,gitnexus query→irrelevant results context(ZMAppLoginHelper)→30 methods context(ZPPTUIContainer)→showLoginController,Partial — works only with exact symbol name known in advance
S2,orchard,2,"ROOT CAUSE CORRECTED: class-level find_callers→0 is expected; method-level queries work. acceptVideoCall: has 8 callers(hudWasHidden/showInviteAlert/meetingAcceptCall) + 21 callees(createInvocation/invokeAcceptCall/leaveConferenceWith); showZoomController has 2 C++ callers(CSBConfUI::OnConfStatusChanged/OnLaunchConfParamReady). Full join flow traceable via method-level queries.",2,Cross-language bridge confirmed: C++ CSBConfUI→ObjC showZoomController/createZoomController; callers all verified as correct with source_direct reason + file paths,2,Caller/callee data includes depth/reason/owner/file_path; flow from acceptVideoCall→createInvocation→invokeAcceptCall→join UI is auditable,1,Requires 2-hop manual method discovery (class search→infer method USR→query callers); 3 queries for full flow,,"orchard find_callers acceptVideoCall:→8 callers + 21 callees; showZoomController→2 C++ callers (cross-language); invokeAcceptCall→17 callees",SUCCESS — method-level call graph works including ObjC↔C++ bridge
S2,gitnexus,1,Direct lookup found ZPJoinConfHelper(15 methods including acceptVideoCall/leaveAndJoinAnotherMeeting) ZPConfUIContainer(createZoomController/showCreatedZoomController) ZMMeetingSceneDelegate(scene:willConnectToSession:),1,Symbols and methods correctly identified but impact analysis returns only knowledge-base markdown imports — no code-level callers or dependents,1,Methods listed with confidence=1.0 and file paths but no relational explanation,1,Direct context queries work but impact analysis is markdown-only for these symbols,call_graph_precision,gitnexus context(ZPJoinConfHelper)→15 methods context(ZPConfUIContainer)→30 methods context(ZMMeetingSceneDelegate)→12 methods,Partial — method discovery is excellent; dependency graph is missing
S3,orchard,0,loginDoneWithResult not found in graph (ZMAppLoginHelper entire class missing from iOSLogin module),0,N/A — target symbol not indexed,0,N/A — no data to explain,2,Single fast search returned empty; no workaround available,index_coverage call_graph_precision,orchard search loginDoneWithResult→0 results (ZMAppLoginHelper不在index中),FAIL — target module not indexed
S3,gitnexus,1,loginDoneWithResult found (2 candidates: header+impl); impact shows 1 direct code caller tryAutoLoginWhenAppLaunched (CALLS confidence 0.95); risk LOW,2,Correct caller identified; tryAutoLoginWhenAppLaunched is the documented auto-login entry — semantically correct,2,Clear CALLS relation at 0.95 confidence with file paths and line numbers,1,2 queries (disambiguate 2 candidates + run impact) yielded actionable result,call_graph_precision(仅1个caller),gitnexus impact(loginDoneWithResult: upstream)→1 caller tryAutoLoginWhenAppLaunched at 0.95,Partial — working but caller count is unrealistically low for this critical callback
S4,orchard,2,createZoomController found with impact showing rich cross-language callers: showRetractableZoomCallOutControllerConfStart + CSBConfUI::OnConfStatusChanged(d1) OnLaunchConfParamReady(d2) plus subtype_closure,2,Cross-language bridge recovered correctly: ObjC→C++ callers (CSBConfUI OnConfStatusChanged) found via cross_language_bridge_recovery evidence,2,Clear depth grouping (d1/d2/d3) with USR/file_path/reached_via reason; evidence_sources documented,1,Single impact command returned comprehensive multi-depth results,call_graph_precision(risk:critical freshness:stale),"orchard impact createZoomController→d1:2 callers (ObjC+Cxx) d2:OnLaunchConfParamReady d3:implements closure",SUCCESS — richer than GitNexus; cross-language bridge working
S4,gitnexus,1,createZoomController found; impact shows 1 caller showRetractableZoomCallOutControllerConfStart (CALLS 0.95); risk LOW,1,Single caller found is correct but missed C++ caller CSBConfUI::OnConfStatusChanged that orchard found,2,Clear CALLS relation with confidence score and module impact,1,Straightforward single impact query,cross_language_bridge,"gitnexus impact(createZoomController upstream)→1 caller (missed C++ cross-language callers)",Partial — correct but incomplete; misses cross-language callers
S5,orchard,0,LoginServiceProtocol found but hierarchy returns empty (no parents no children no protocols); find_callers returns empty; no implementers surfaced,0,Protocol hierarchy is empty — Swift SymbolGraph ingest detected (evidence_sources: swift_symbolgraph_ingest) but produced no relationships,0,No hierarchy edges to explain protocol conformance,1,Single search + hierarchy query but returned nothing useful,apple_specific_semantics symbol_identity,"orchard hierarchy LoginServiceProtocol→{parents:[] protocols:[] children:[]}",FAIL — protocol conformance chain is empty
S5,gitnexus,2,LoginServiceProtocol→LoginOutterService via IMPLEMENTS (0.92 confidence); LoginOutterService→LoginServiceProtocol via implements; clear bidirectional protocol-implementer relationship,2,Correct protocol implementation resolved; LoginOutterService is the documented implementer per knowledge-base,2,Two-way relationship shown with confidence scores; file paths point to actual source files,1,2 context queries resolved the full protocol chain,,"gitnexus context(LoginServiceProtocol)→implements:LoginOutterService(0.92) context(LoginOutterService)→implements:LoginServiceProtocol(0.92)",SUCCESS — protocol implementation chain clearly resolved
S6,orchard,0,SMServiceManager.login(getter:login ObjC USR Swift language) and getter:loginSwift both found in search but symbol lookup fails with 'not found in target'; bridge data exists but unresolvable,0,Symbol lookup failure means bridge identity can't be verified even though search shows cross-language USR formats,0,Search hints at bridge identity but symbol command can't resolve it,2,Search found candidates but subsequent queries fail; dead end,cross_language_bridge symbol_identity,"orchard search→SMServiceManager.login USR:c:@CM@...objc(cs)SMServiceManager(cm)login(lang:swift) orchard symbol→not found",FAIL — bridge identity hinted in search but unresolvable via symbol command
S6,gitnexus,0,Semantic query for Swift/ObjC bridge returned completely irrelevant results (ZPPTAppHelperAdapter OCBridgeSBPTAppAPI); can't find cross-language symbol pairs without exact names,0,No bridge identity evidence surfaced from any query,0,No bridge data to explain,2,Semantic approach failed; would need exact ObjC and Swift symbol names known in advance,cross_language_bridge retrieval_ranking,gitnexus query"Swift Objective-C bridge...→ZPPTAppHelperAdapter OCBridgeSBPTAppAPI",FAIL — semantic search can't find cross-language bridge pairs
S7,orchard,2,"depth=5 multi-hop traces didFinishLaunching→587 callees across 5 depths. 18 login-related callees found: d=1:tryAutoLoginWhenAppLaunched/getter:login/forceLoginWithMDMActivationCode; d=2:tryAutoLogin(needUiUpdate:)/setLastLoginCAPType:; d=3:loginType/requestNotiAuthorization; d=4:getter:loginStatus/isAutoLoginInProgress. Full cold-start→login path traceable.",2,Complete login flow verified: didFinishLaunching→tryAutoLogin→autoLogin→loginStatus across 4 hops with clear semantic correctness,2,Depth-annotated results show exact hop count; each callee auditable via find_callers reverse check,2,Single command with --depth 5 replaces 4+ manual recursive queries; noise filter removes C++ operators,,"orchard find_callees --depth 5 didFinishLaunching→587 callees(18 login-related across d1-d4)",SUCCESS — full cold-start→login flow traced via multi-hop BFS
S7,gitnexus,0,Semantic search for cold-start flow failed (returned ZMCutsManager/ZMMyNotesHelper); ZPAppDelegate found with 26 methods including didFinishLaunching and scene configuration but no process/flow traced,1,Methods correctly listed (didFinishLaunching scene:configurationForConnectingSceneSession: etc.) but no flow connections between them,1,Methods are clearly listed with file:line; but can't connect them into a coherent flow,2,Semantic search failed; symbol lookup works but doesn't produce a flow,process_extraction retrieval_ranking,gitnexus query→irrelevant context(ZPAppDelegate)→26 methods (no call-chain connections),FAIL — neither semantic search nor context can produce a process trace
S8,orchard,2,"depth=3 multi-hop traces _handleMeetingPushNoti→240 callees across 3 depths. 27 join/recovery-related callees: d=1:joinFromIconTray:/alwaysMuteMicWhenJoinVoIP/isCarPlaySceneConnected; d=2:reportStartMeeting/ReportMeetingEvent/setMeetingNo:; d=3:joinFromIconTray:...isFromCallkitOrPush:/NotifyMeetingInvitationEvent. Full notification→meeting recovery path traceable.",2,Notification→meeting recovery chain verified: APNS handler→joinFromIconTray→reportStartMeeting→NotifyMeetingInvitationEvent across 3 hops,2,Depth-annotated callees show precise hop distance to recovery endpoint; each hop auditable,2,Single command with --depth 3 traces cross-subsystem path that previously required manual stitching,,"orchard find_callees --depth 3 _handleMeetingPushNoti→240 callees(27 join-related across d1-d3)",SUCCESS — notification→meeting recovery flow fully traced
S8,gitnexus,0,Semantic search returned unrelated meeting symbols (InMeetingHelper ZMMeetingSceneDelegate ZMSIPPushCallMgr) but no notification→recovery flow; ZPAppDelegate notification methods listed but no meeting scene handoff,1,Correct notification methods identified on ZPAppDelegate but meeting scene recovery not connected,1,Methods listed clearly but no flow explanation,2,Semantic search failed; context shows relevant symbols without connecting them,process_extraction retrieval_ranking,"gitnexus query→scattered meeting+notification symbols context(ZPAppDelegate)→notification methods (no meeting handoff)",FAIL — neither tool traces the cross-subsystem notification→meeting recovery flow
